Year,Mississippi.River.LD1,Kanopolis,Homme,Benbrook,Whitney,Grapevine,Belton,Lewisville,Pomme.De.Terre,Pomona,Salt.Creek.8...Wagon.Train,W..Kerr.Scott,Salt.Creek.9...Stagecoach,Canyon,Salt.Creek.13...Twin.Lakes,Salt.Creek.14...Pawnee,Bardwell,Sam.Rayburn,Milford,Somerville,Eau.Galle,Stillhouse.Hollow,Bowman.Haley,Melvern,AnchorReservoirandDam,FolsomLakeDamandPowerplant,LakeSherburneandDam,LakeTschidaandHeartButteDam,LewistonLakeDamandPowerplant,RuediReservoirandDam,SpringCreekReservoirandDebrisDam,StarvationReservoirandDam,WhiskeytownLakeandDam
1992,728.26,1473.26,1081.18,712.24,559.25,551.93,634.34,530.14,851.35,982.42,1290.62,1042.12,1272.23,937.31,1337.8,1244.61,433.81,175.1,1149.36,259.6,945.73,667.97,2752.77,1042.37,6413.8,440.04,4765.44,2051.95,1902.03,7766,798.52,5709.06,1209.79
1993,728.49,1505.68,1083.23,696.87,533.53,541.1,606.92,524.92,864.58,992.7,1294.61,1041.42,1278.15,909.24,1345.55,1249.09,424.19,167.41,1181.94,242.85,943.52,629.08,2755.66,1048.32,6409.4,465.51,4782.14,2065.3,1901.79,7766.12,797.2,5712.74,1209.66
1994,728.98,1467.11,1081.57,698.51,534.4,543.31,597.5,526.74,863.15,981.51,1289.45,1055.71,1273.79,912.01,1341.77,1245.05,426.51,168.24,1145.49,250.4,942.94,624.59,2755.93,1041.15,6368.5,413.35,4787.85,2066.61,1901.91,7762.14,737.98,5712.21,1209.39
1995,728.22,1487.68,1082.38,702.6,537.69,542.79,600.78,525.2,862.65,998.4,1291.57,1048.77,1274.77,911.5,1345.02,1245.99,428.71,171.97,1158.42,246.18,946.8,623.55,2758.77,1053.45,6414.3,465.42,4787.23,2067.43,1901.98,7767.55,799.89,5712.59,1212.34
1996,728.71,1478.8,1082.33,697.91,534.57,539.48,595.35,522.35,846.68,983.42,1290.99,1043.55,1277.65,909.18,1343.82,1246.52,421.48,156.71,1149.97,238.47,943.9,620.65,2756.56,1040.78,6378.2,464.41,4787.8,2067.33,1902.03,7763.21,771.21,5712.45,1209.86
1997,732.7,1470.7,1083.25,710.18,543.6,547.07,610.47,527.24,846.29,981.96,1290.13,1032.81,1273.06,937.57,1341.28,1244.59,431.95,168.67,1147.52,240.12,944.86,639.81,2757.83,1040.26,6413.1,455.65,4787.81,2082.19,1902.02,7765.74,794.87,5712.45,1213.59
1998,727.4,1472.38,1082.92,705.03,538.42,542.33,602.86,525.55,849.34,995.65,1287.72,1044.58,1273.79,923.7,1344.65,1246.98,434.46,170.93,1151.12,251.91,947.31,630.42,2754.85,1050.77,6407.6,463.58,4787.73,2067.27,1901.9,7764.02,795.04,5712.19,1213.92
1999,729.45,1473.61,1082.47,695.21,526.86,533.24,595.24,516.02,854.38,991.54,1283.25,1033.22,1273.73,910.6,1342.33,1246.34,424.04,171.87,1149.53,248.53,942.73,624.12,2756.24,1046.35,6412.8,463.59,4787.81,2069.04,1901.83,7766.18,743.05,5712.31,1209.36
2000,726.73,1470.08,1080.28,699.92,532.63,530.56,595.25,514.43,843.91,977.27,1276.27,1031.16,1270.96,918.58,1338.41,1244.1,427.89,160.08,1145.24,239.13,942.66,623.08,2752.57,1036.72,6371.9,448.92,4773.64,2063.99,1901.91,7767.62,748.07,5710.51,1209.53
2001,732.53,1475.66,1082.26,701.58,537.3,549.09,598.47,526.73,847.85,980.78,1288.06,1032.83,1275.02,920.22,1342.76,1245.38,434.65,173.22,1149.35,242.41,946.77,625.63,2756.58,1038.34,6372.8,440.3,4763.41,2068.04,1902.04,7759.69,795.9,5712.41,1209.41
2002,728.14,1465.98,1079.76,698.77,534.03,539.45,596.18,525.53,858.58,982.15,1285.72,1034.01,1272.36,949.29,1340.12,1243.9,424.02,166.81,1144.68,246.25,944.59,627.7,2752.03,1039.67,6369.1,452.82,4787.31,2063.85,1902.02,7739.17,798.2,5712.06,1209.71
2003,728.73,1467.49,1080.73,695.71,526.99,537.31,597.98,522.4,843.14,977.79,1289.25,1041.59,1273.61,912.55,1342.62,1244.94,424.41,169.85,1147.25,249.74,944.33,624.13,2751.35,1037.68,6378.68,465.1,4783.09,2070.32,1901.89,7761.72,795.91,5709.17,1212.06
2004,727.03,1467.88,1082.76,708.24,537.95,544.56,610.81,524.83,846.07,980.46,1290.18,1046.15,1278.66,927.59,1341.19,1244.14,427.76,168.65,1148.34,247.49,943.89,637.46,2754.64,1039.85,6363.1,440.71,4778.95,2068.77,1901.91,7757.05,772.49,5710.29,1209.31
2005,728.05,1465.65,1081.17,694.8,532.72,536.51,600.28,523.92,853.35,989.61,1286.69,1034.94,1271.69,910.51,1339.89,1243.66,424.45,167.63,1147.04,242.88,944.84,628.15,2752.18,1048.3,6403.33,465.41,4784.02,2066.46,1901.98,7766.01,757.02,5712.67,1210.07
2006,727.76,1460.26,1081.3,692,530.87,530.39,592.43,515.86,842.51,978.36,1284.82,1034.01,1271.11,906.78,1338.08,1243.08,421.95,164.4,1145.59,239.08,942.78,624.48,2754.71,1038.15,6365,464.29,4788.21,2065.16,1902.04,7764.44,750.71,5712.7,1211.33
2007,727.27,1480.33,1081.06,706.7,556.85,555.13,629.62,534.02,846.39,993.4,1291.42,1033.72,1275.52,922.97,1343.21,1246.29,433.98,168.75,1152.42,242.66,945.56,664,2753.68,1047.68,6370,448.33,4780.98,2062.72,1901.94,7765.95,729.52,5712.35,1209.25
